06-30-2025 03:00:01.254 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/admin/auth-services| join type=left splunk_server [|rest splunk_server=local /services/server/info | fields guid, splunk_server] | appendcols [|rest splunk_server=local /servicesNS/nobody/splunk_instrumentation/telemetry | fields telemetrySalt]| eval telemetrySalt=if(isnull(telemetrySalt), "", telemetrySalt), hashHost=sha1(telemetrySalt+splunk_server)| eval data="{\"host\": \""+hashHost+"\",\"guid\": \""+guid+"\", \"authentication method\": \""+active_authmodule+"\",\"mfa type\": " +"\"" + if(mfa_type=="", "none", mfa_type) +"\"}", _time=now(), date=strftime(_time, "%Y-%m-%d") | fields data _time date
06-30-2025 03:00:01.254 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.254 INFO  SearchOperator:rest [31272 searchOrchestrator] - built uri=/services/admin/auth-services?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.255 INFO  DispatchStorageManagerInfo [31272 searchOrchestrator] - Successfully created new dispatch directory for search job. sid=subsearch_scheduler__nobody_c3BsdW5rX2luc3RydW1lbnRhdGlvbg__RMD5f3c4dace1282aae1_at_1751241600_8_1751241601.1 dispatch_dir=C:\Program Files\Splunk\var\run\splunk\dispatch\subsearch_scheduler__nobody_c3BsdW5rX2luc3RydW1lbnRhdGlvbg__RMD5f3c4dace1282aae1_at_1751241600_8_1751241601.1
06-30-2025 03:00:01.258 INFO  HealthReporter [31272 searchOrchestrator] - aggregate_ingestion_latency_health with value=0 from stanza=health_reporter will disable the aggregation of ingestion latency health reporter.
06-30-2025 03:00:01.259 INFO  DispatchCommandProcessor [31272 searchOrchestrator] - Data federation feature is enabled
06-30-2025 03:00:01.259 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.259 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.259 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.259 INFO  SearchOrchestrator [31272 searchOrchestrator] - SearchOrchestrator getting constructed
06-30-2025 03:00:01.259 INFO  SearchOrchestrator [31272 searchOrchestrator] -  Initialized the SRI
06-30-2025 03:00:01.261 INFO  ISplunkDispatch [31272 searchOrchestrator] - Not running in splunkd. Bundle replication not triggered.
06-30-2025 03:00:01.264 INFO  SearchOrchestrator [49596 searchOrchestrator] - Initialzing the run time settings for the orchestrator.
06-30-2025 03:00:01.264 INFO  UserManager [49596 searchOrchestrator] - Setting user context: admin
06-30-2025 03:00:01.264 INFO  UserManager [49596 searchOrchestrator] - Free version does not have user services
06-30-2025 03:00:01.264 INFO  UserManager [49596 searchOrchestrator] - Done setting user context: NULL -> NULL
06-30-2025 03:00:01.266 INFO  SearchOrchestrator [49596 searchOrchestrator] - Creating the search DAG.
06-30-2025 03:00:01.266 INFO  SearchParser [49596 searchOrchestrator] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.267 INFO  DispatchStorageManagerInfo [49596 searchOrchestrator] - Successfully created new dispatch directory for search job. sid=a57dc3e83409fb22_tmp dispatch_dir=C:\Program Files\Splunk\var\run\splunk\dispatch\a57dc3e83409fb22_tmp
06-30-2025 03:00:01.270 INFO  SearchOperator:rest [49596 searchOrchestrator] - built uri=/services/server/info?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.270 INFO  SearchParser [49596 searchOrchestrator] - PARSING: prerest splunk_server="BEER-PC01" timeout=60 "/services/server/info?count=0"
06-30-2025 03:00:01.270 INFO  SearchOperator:rest [49596 searchOrchestrator] - built uri=/services/server/info?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.270 INFO  DispatchThread [49596 searchOrchestrator] - BatchMode: allowBatchMode: 1, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):0, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):0
06-30-2025 03:00:01.270 INFO  DispatchThread [49596 searchOrchestrator] - required fields list to add to remote search = *
06-30-2025 03:00:01.270 INFO  DispatchCommandProcessor [49596 searchOrchestrator] - summaryHash=fbaafaa0fd22c9d7 summaryId=D59BE72C-130E-4AB5-91DF-EC18452C6179_splunk_instrumentation_admin_fbaafaa0fd22c9d7 remoteSearch=prerest  splunk_server="BEER-PC01" timeout=60 "/services/server/info?count=0"
06-30-2025 03:00:01.270 INFO  DispatchCommandProcessor [49596 searchOrchestrator] - summaryHash=NSdea437639f3255a9 summaryId=D59BE72C-130E-4AB5-91DF-EC18452C6179_splunk_instrumentation_admin_NSdea437639f3255a9 remoteSearch=prerest splunk_server="BEER-PC01" timeout=60 "/services/server/info?count=0"
06-30-2025 03:00:01.270 INFO  DispatchThread [49596 searchOrchestrator] - Getting summary ID for summaryHash=NSdea437639f3255a9
06-30-2025 03:00:01.271 INFO  SearchParser [49596 searchOrchestrator] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.271 INFO  SearchOperator:rest [49596 searchOrchestrator] - built uri=/services/server/info?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.271 INFO  AstOptimizer [49596 searchOrchestrator] - SrchOptMetrics optimize_toJson=0.000
06-30-2025 03:00:01.271 INFO  SearchParser [49596 searchOrchestrator] - PARSING:  | fields + guid, splunk_server
06-30-2025 03:00:01.272 INFO  SearchParser [49596 searchOrchestrator] - PARSING:  | rest /services/server/info splunk_server=local
06-30-2025 03:00:01.272 INFO  ProjElim [49596 searchOrchestrator] - Black listed processors=[addinfo]
06-30-2025 03:00:01.283 INFO  AstOptimizer [49596 searchOrchestrator] - Search optimizations have been disabled in limits.conf. Set enabled=true in [search_optimization::replace_stats_cmds_with_tstats]
06-30-2025 03:00:01.283 INFO  AstVisitorFactory [49596 searchOrchestrator] - Not building visitor : replace_stats_cmds_with_tstats
