2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginCustomLogo (str): 
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginDocumentTitleOption (str): default
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginDocumentTitleText (str): 
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginFooterOption (str): default
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginFooterText (str): 
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginPasswordHint (str): 
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: login_content (str): 
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: mako_cache_path (str): C:\Program Files\Splunk\var\run\splunk\mako_cache
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: master_guid (NoneType): None
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: maxSockets (int): 0
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: maxThreads (int): 0
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: max_view_cache_size (int): 1000
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: mgmtHostPort (str): 127.0.0.1:8089
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: minify_css (bool): True
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: minify_js (bool): True
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: module_dir (str): share/splunk/search_mrsparkle/modules
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: mrsparkle_path (str): C:\Program Files\Splunk\share\search\mrsparkle
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: os_name (str): UNKNOWN_OS_NAME
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: override_JSON_MIME_type_with_text_plain (bool): True
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: pdfgen_is_available (int): 1
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: pivot_adhoc_acceleration_mode (str): Elastic
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: preload (bool): False
2023-11-21 14:27:21,408 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: privKeyPath (str): $SPLUNK_HOME\etc\auth\splunkweb\privkey.pem
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: productMenuLabel (str): My Splunk
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: productMenuUriPrefix (str): https://splunkcommunities.force.com
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: product_type (str): splunk
