key,time,count
FBI Code,0CAE9AUG000000,176
ID,0CAE9AUG000000,176
IUCR,0CAE9AUG000000,176
Latitude,0CAE9AUG000000,120
Location,0CAE9AUG000000,120
Location Description,0CAE9AUG000000,171
Longitude,0CAE9AUG000000,120
Primary Type,0CAE9AUG000000,176
Updated On,0CAE9AUG000000,176
Ward,0CAE9AUG000000,171
X Coordinate,0CAE9AUG000000,120
Y Coordinate,0CAE9AUG000000,120
Year,0CAE9AUG000000,176
date_hour,0CAE9AUG000000,176
date_mday,0CAE9AUG000000,176
date_minute,0CAE9AUG000000,176
date_month,0CAE9AUG000000,176
date_second,0CAE9AUG000000,176
date_wday,0CAE9AUG000000,176
date_year,0CAE9AUG000000,176
date_zone,0CAE9AUG000000,176
host,0CAE9AUG000000,176
linecount,0CAE9AUG000000,176
punct,0CAE9AUG000000,176
source,0CAE9AUG000000,176
sourcetype,0CAE9AUG000000,176
timeendpos,0CAE9AUG000000,176
timestartpos,0CAE9AUG000000,176
,0CAGOE6G000000,337
Arrest,0CAGOE6G000000,337
Beat,0CAGOE6G000000,337
Block,0CAGOE6G000000,337
Case Number,0CAGOE6G000000,337
Community Area,0CAGOE6G000000,333
Date,0CAGOE6G000000,337
Description,0CAGOE6G000000,337
District,0CAGOE6G000000,337
Domestic,0CAGOE6G000000,337
FBI Code,0CAGOE6G000000,337
ID,0CAGOE6G000000,337
IUCR,0CAGOE6G000000,337
Latitude,0CAGOE6G000000,231
Location,0CAGOE6G000000,231
Location Description,0CAGOE6G000000,326
Longitude,0CAGOE6G000000,231
Primary Type,0CAGOE6G000000,337
Updated On,0CAGOE6G000000,337
Ward,0CAGOE6G000000,333
X Coordinate,0CAGOE6G000000,231
Y Coordinate,0CAGOE6G000000,231
Year,0CAGOE6G000000,337
date_hour,0CAGOE6G000000,337
date_mday,0CAGOE6G000000,337
date_minute,0CAGOE6G000000,337
date_month,0CAGOE6G000000,337
date_second,0CAGOE6G000000,337
date_wday,0CAGOE6G000000,337
date_year,0CAGOE6G000000,337
date_zone,0CAGOE6G000000,337
host,0CAGOE6G000000,337
linecount,0CAGOE6G000000,337
punct,0CAGOE6G000000,337
source,0CAGOE6G000000,337
sourcetype,0CAGOE6G000000,337
timeendpos,0CAGOE6G000000,337
timestartpos,0CAGOE6G000000,337
,0CAJA5QG000000,321
Arrest,0CAJA5QG000000,321
Beat,0CAJA5QG000000,321
Block,0CAJA5QG000000,321
Case Number,0CAJA5QG000000,321
Community Area,0CAJA5QG000000,320
Date,0CAJA5QG000000,321
Description,0CAJA5QG000000,321
District,0CAJA5QG000000,321
Domestic,0CAJA5QG000000,321
FBI Code,0CAJA5QG000000,321
ID,0CAJA5QG000000,321
IUCR,0CAJA5QG000000,321
Latitude,0CAJA5QG000000,178
Location,0CAJA5QG000000,178
Location Description,0CAJA5QG000000,309
Longitude,0CAJA5QG000000,178
