07-13-2025 00:00:01.336 INFO  LMStackMgr [0 MainThread] - init completed [D59BE72C-130E-4AB5-91DF-EC18452C6179,Free,runContext_splunkd=false]
07-13-2025 00:00:01.336 INFO  LicenseMgr [0 MainThread] - StackMgr init complete...
07-13-2025 00:00:01.336 INFO  LMTracker [0 MainThread] - Setting default product type='enterprise'
07-13-2025 00:00:01.336 INFO  LMTracker [0 MainThread] - this is not splunkd, will perform partial init
07-13-2025 00:00:01.336 INFO  LicenseMgr [0 MainThread] - Tracker init complete...
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licenses'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'pools'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'stacks'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'groups'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'slaves'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'peers'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'localslave'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'localpeer'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licensermessages'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'scriptedwarning'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licenseusage'
07-13-2025 00:00:01.336 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'managers'
07-13-2025 00:00:01.336 INFO  dispatchRunner [0 MainThread] - Per-process handle limit is 512
07-13-2025 00:00:01.336 INFO  dispatchRunner [0 MainThread] - Increasing per-process handle limit from '512' to '2048'
07-13-2025 00:00:01.336 INFO  dispatchRunner [0 MainThread] - Successfully increased per-process handle limit from '512' to '2048'
07-13-2025 00:00:01.336 INFO  dispatchRunner [0 MainThread] - registering build time modules, count=1
07-13-2025 00:00:01.336 INFO  dispatchRunner [0 MainThread] - registering search time components of build time module name=vix
07-13-2025 00:00:01.336 INFO  dispatchRunner [0 MainThread] - Getting search configuration data from: C:\Program Files\Splunk\etc\modules\parsing\config.xml
07-13-2025 00:00:01.368 WARN  SSLOptions [0 MainThread] - server.conf/[kvstore]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
07-13-2025 00:00:01.371 WARN  KVStoreConfigurationProvider [0 MainThread] - KV Store is not available. Its status is 'failed'.
07-13-2025 00:00:01.374 INFO  BundlesSetup [0 MainThread] - Setup stats for C:\Program Files\Splunk\etc: wallclock_elapsed_msec=79, cpu_time_used=0.078125, shared_services_generation=1, shared_services_population=1
07-13-2025 00:00:01.376 INFO  PipelineComponent [0 MainThread] - Ingestion pipeline sets have been configured to use pipeline set policy=round_robin for multiple pipeline sets.
07-13-2025 00:00:01.390 INFO  UserManager [249304 RunDispatch] - Setting user context: splunk-system-user
07-13-2025 00:00:01.390 INFO  UserManager [249304 RunDispatch] - Free version does not have user services
07-13-2025 00:00:01.390 INFO  UserManager [249304 RunDispatch] - Done setting user context: NULL -> NULL
07-13-2025 00:00:01.391 INFO  UserManager [249304 RunDispatch] - Unwound user context: NULL -> NULL
07-13-2025 00:00:01.391 INFO  UserManager [249304 RunDispatch] - Setting user context: admin
07-13-2025 00:00:01.392 INFO  UserManager [249304 RunDispatch] - Free version does not have user services
07-13-2025 00:00:01.392 INFO  UserManager [249304 RunDispatch] - Done setting user context: NULL -> NULL
07-13-2025 00:00:01.393 INFO  dispatchRunner [249304 RunDispatch] - search context: user="admin", app="splunk_secure_gateway", bs-pathname="C:\Program Files\Splunk\etc"
