2025-07-06 16:16:11.7629 INFO 	ControlAPIHandler. Initialize for ControlAPI. Started:  
2025-07-06 16:16:11.7750 INFO 	ControlAPIHandler. Initialize. ctlInit failed 
2025-07-06 16:16:11.7750 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 100 
2025-07-06 16:16:11.7750 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 1 
2025-07-06 16:16:11.7750 ERROR 	GraphicsAdapterInfoPayload. GetEscapeInterface: Found no valid driver for intel hardware hardware. 
2025-07-06 16:16:11.7750 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 5 
2025-07-06 16:16:11.7750 ERROR 	EscapeCallYangra. GetPowerConservationData. Driver Escape Failed. 
2025-07-06 16:16:11.7750 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Lace is not supported 
2025-07-06 16:16:11.7750 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Unsupported Platform 
2025-07-06 16:16:19.4738 INFO 	ControlAPIHandler. Close. Error closing handle. Status: CTL_RESULT_ERROR_NOT_INITIALIZED 
